AllStatements
Date, Type, Description, Check Number, Amount, Balance 
04/05/2021,ACH,VENMO           PAYMENT,,-100.00,04/05/2021,1965.51
04/05/2021,ACH,VENMO           PAYMENT,,-12.75,04/05/2021,2065.51
04/05/2021,ACH,VENMO           PAYMENT,,-11.30,04/05/2021,2078.26
04/05/2021,Debit Card,CHIPOTLE 1027               COLUMBIA        MO,,-7.83,04/05/2021,2089.56
04/02/2021,ACH,1224 E Walnut   Rent,,-789.95,04/02/2021,2097.39
04/02/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-40.16,04/02/2021,2887.34
04/02/2021,Debit Card,TST* HATTIE B S             NASHVILLE       TN,,-11.48,04/02/2021,2927.50
04/02/2021,Debit Card,MCDONALD'S F657             PANAMA CITY B   FL,,-6.14,04/02/2021,2938.98
04/01/2021,Debit Card,Subway 13188                Panama City B   FL,,-5.72,04/01/2021,2945.12
04/01/2021,Debit Card,BILLY'S STEAMER             PANAMA CITY B   FL,,-32.00,04/01/2021,2950.84
04/01/2021,Debit Card,MS NEWBY LIQUOR             PANAMA CITY B   FL,,-37.61,04/01/2021,2982.84
04/01/2021,Debit Card,SHORE DOG`S GRI             PANAMA CITY B   FL,,-25.00,04/01/2021,3020.45
03/31/2021,ACH,VENMO           PAYMENT,,-6.00,03/31/2021,3045.45
03/31/2021,Debit Card,Subway 13188                Panama City B   FL,,-4.55,03/31/2021,3051.45
03/30/2021,Debit Card,PINEAPPLE WILLY             P C Beach       FL,,-34.04,03/30/2021,3056.00
03/29/2021,ACH,VENMO           PAYMENT,,-200.00,03/29/2021,3090.04
03/29/2021,ACH,VENMO           PAYMENT,,-7.00,03/29/2021,3290.04
03/29/2021,ACH,VENMO           PAYMENT,,-3.00,03/29/2021,3297.04
03/29/2021,Debit Card,SQ *PANAMANIAC              Panama City B   FL,,-65.00,03/29/2021,3300.04
03/29/2021,Debit Card,BEACH LIQUORS #             PANAMA CITY B   FL,,-16.02,03/29/2021,3365.04
03/29/2021,Debit Card,ROAD RANGER #15             OKAWVILLE       IL,,-8.06,03/29/2021,3381.06
03/26/2021,Debit Card,PUBLIX SUPER M PUBLIX SUPER MAR   PANAMA CITY B FL,,-77.17,03/26/2021,3389.12
03/26/2021,Debit Card,3804 GREAT CLIP             COLUMBIA        MO,,-21.50,03/26/2021,3466.29
03/25/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-21.91,03/25/2021,3487.79
03/25/2021,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-14.79,03/25/2021,3509.70
03/23/2021,Debit Card,MU PARKING AND              COLUMBIA        MO,,-25.00,03/23/2021,3524.49
03/23/2021,Debit Card,THE SHOT BAR                COLUMBIA        MO,,-30.35,03/23/2021,3549.49
03/23/2021,Debit Card,THE SHOT BAR                COLUMBIA        MO,,-7.59,03/23/2021,3579.84
03/22/2021,Debit Card,SQ *SILVERBALL              Columbia        MO,,-14.90,03/22/2021,3587.43
03/22/2021,Debit Card,LEE STREET DELI             COLUMBIA        MO,,-11.00,03/22/2021,3602.33
03/22/2021,Debit Card,HARPOS                      COLUMBIA        MO,,-38.00,03/22/2021,3613.33
03/19/2021,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,03/19/2021,3651.33
03/18/2021,Debit Card,00000000063245 MCDONALD'S F171    COLUMBIA      MO,,-13.79,03/18/2021,3659.19
03/18/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-8.82,03/18/2021,3672.98
03/15/2021,Debit Card,IHOP 5423                   COLUMBIA        MO,,-25.00,03/15/2021,3681.80
03/15/2021,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-14.79,03/15/2021,3706.80
03/15/2021,ATM,CB BOONE       15 SOUTH 8TH       COLUMBIA      MO,,-50.00,03/15/2021,3721.59
03/12/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-30.91,03/12/2021,3771.59
03/12/2021,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,03/12/2021,3802.50
03/12/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,03/12/2021,3896.16
03/10/2021,Debit Card,00000000063245 MCDONALD'S F171    COLUMBIA      MO,,-14.75,03/10/2021,3899.40
03/09/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-14.63,03/09/2021,3914.15
03/08/2021,Debit Card,2796PEPSIVEN914             COLUMBIA        MO,,-2.00,03/08/2021,3928.78
03/08/2021,Debit Card,029801549676   BREAK TIM 2709 E B COLUMBIA      MO,,-36.59,03/08/2021,3930.78
03/08/2021,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-17.65,03/08/2021,3967.37
03/08/2021,Debit Card,PARKMOBILE                  COLUMBIA        MO,,-1.45,03/08/2021,3985.02
03/04/2021,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-10.79,03/04/2021,3986.47
03/03/2021,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-30.22,03/03/2021,3997.26
03/03/2021,Debit Card,AMZN Mktp US*XZ             Amzn.com/bill   WA,,-27.49,03/03/2021,4027.48
03/02/2021,ACH,1224 E Walnut   Rent,,-789.95,03/02/2021,4054.97
03/02/2021,Debit Card,DOMINO'S 1502               COLUMBIA        MO,,-9.71,03/02/2021,4844.92
03/01/2021,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,03/01/2021,4854.63
03/01/2021,Debit Card,FIREHOUSE SUBS              COLUMBIA        MO,,-8.00,03/01/2021,4862.49
03/01/2021,Debit Card,FIREHOUSE SUBS              COLUMBIA        MO,,-11.00,03/01/2021,4870.49
02/22/2021,ACH,VENMO           PAYMENT,,-375.00,02/22/2021,3792.49
02/22/2021,ACH,VENMO           PAYMENT,,-10.00,02/22/2021,4167.49
02/22/2021,ACH,VENMO           PAYMENT,,-8.50,02/22/2021,4177.49
02/22/2021,Debit Card,00000000023202 MCDONALD'S F1140   COLUMBIA      MO,,-17.34,02/22/2021,4185.99
02/22/2021,Debit Card,FUZZYS TACO SHO             COLUMBIA        MO,,-14.06,02/22/2021,4203.33
02/22/2021,Debit Card,LAKOTA COFFEE C             COLUMBIA        MO,,-7.59,02/22/2021,4217.39
02/18/2021,Debit Card,APPLEBEES 08206             COLUMBIA        MO,,-74.70,02/18/2021,4224.98
02/17/2021,Debit Card,043045724      HY-VEE GA 25 Conle Columbia      MO,,-34.57,02/17/2021,4299.68
02/16/2021,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-38.64,02/16/2021,3334.25
02/16/2021,Debit Card,AMZN Mktp US*NR             Amzn.com/bill   WA,,-108.00,02/16/2021,3372.89
02/16/2021,Debit Card,PAPA JOHNS #508             COLUMBIA        MO,,-13.02,02/16/2021,3480.89
02/10/2021,Debit Card,SMOOTHIE KING -             COLUMBIA        MO,,-7.47,02/10/2021,3493.91
02/09/2021,Debit Card,CHIPOTLE 1027               COLUMBIA        MO,,-7.83,02/09/2021,3501.38
02/08/2021,ACH,CURATORS OF THE Univ Misso,,-62.20,02/08/2021,3509.21
02/08/2021,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-17.91,02/08/2021,3571.41
02/08/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,02/08/2021,3589.32
02/04/2021,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-28.81,02/04/2021,3592.56
02/04/2021,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,02/04/2021,3621.37
02/03/2021,Debit Card,JIMMY JOHNS - 2             COLUMBIA        MO,,-8.09,02/03/2021,3636.32
02/03/2021,Debit Card,LSA*LAW SCHOOL              215-968-1001    PA,,-245.00,02/03/2021,3644.41
02/03/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,02/03/2021,3889.41
02/02/2021,ACH,1224 E Walnut   Rent,,-789.95,02/02/2021,3892.65
02/01/2021,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-13.39,02/01/2021,4682.60
02/01/2021,Debit Card,00000000063245 MCDONALD'S F171    COLUMBIA      MO,,-21.08,02/01/2021,4695.99
02/01/2021,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,02/01/2021,4717.07
01/29/2021,Debit Card,SP * ALAIN DUPE             LOS ANGELES     CA,,-109.45,01/29/2021,4724.93
01/27/2021,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-10.27,01/27/2021,4834.38
01/27/2021,Debit Card,TEXAS ROADHOUSE             COLUMBIA        MO,,-19.00,01/27/2021,4844.65
01/25/2021,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-13.15,01/25/2021,4863.65
01/25/2021,Debit Card,CHIPOTLE 1027               COLUMBIA        MO,,-7.83,01/25/2021,4876.80
01/25/2021,Debit Card,UNIVERSITY OF M             COLUMBIA        MO,,-256.15,01/25/2021,4884.63
01/22/2021,Debit Card,TACO BELL 456               COLUMBIA        MO,,-5.40,01/22/2021,5140.78
01/21/2021,Debit Card,AMZN Mktp US*QV             Amzn.com/bill   WA,,-14.98,01/21/2021,5146.18
01/20/2021,Debit Card,THE MIZZOU STOR             COLUMBIA        MO,,-16.19,01/20/2021,5161.16
01/20/2021,Debit Card,MU HEALTHCARE               5738843300      MO,,-39.62,01/20/2021,5177.35
01/19/2021,Debit Card,Subway 12161                Columbia        MO,,-19.09,01/19/2021,2061.19
01/19/2021,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-19.40,01/19/2021,2080.28
01/19/2021,Debit Card,195000005104   QT 179 OUTSIDE 860 PLEASANT VALL MO,,-24.75,01/19/2021,2099.68
01/19/2021,Debit Card,2624 GREAT CLIP             KEARNEY         MO,,-12.99,01/19/2021,2124.43
01/13/2021,Debit Card,TST* HAWAIIAN B             NORTH KANSAS    MO,,-9.62,01/13/2021,2137.42
01/12/2021,Debit Card,7660000234     Wal-Mart Super C   KANSAS CITY   MO,,-6.49,01/12/2021,2147.04
01/11/2021,Debit Card,QT 163 INSIDE               KANSAS CITY     MO,,-3.61,01/11/2021,2093.11
01/06/2021,Debit Card,00000000089950 ALDI 46032         KANSAS CITY   MO,,-4.06,01/06/2021,2096.72
01/05/2021,Debit Card,DOWNING STREET              HOLLISTER       MO,,-19.00,01/05/2021,2100.78
01/05/2021,Debit Card,GARFIELDS - BRA             BRANSON         MO,,-16.00,01/05/2021,2119.78
01/04/2021,ACH,1224 E Walnut   Rent,,-796.20,01/04/2021,2135.78
01/04/2021,Debit Card,CANTINA LAREDO              BRANSON         MO,,-16.00,01/04/2021,2931.98
01/04/2021,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,01/04/2021,2947.98
01/04/2021,Debit Card,COLDSTONE #2162             BRANSON         MO,,-5.94,01/04/2021,2962.93
01/04/2021,Debit Card,MELLOW MUSHROOM             Branson         MO,,-18.00,01/04/2021,2968.87
01/04/2021,Debit Card,SHELL OIL 10006             HIGHLANDVILLE   MO,,-27.46,01/04/2021,2986.87
01/04/2021,Debit Card,SONIC DRIVE IN              LAWRENCE        KS,,-4.36,01/04/2021,3014.33
01/04/2021,Debit Card,MCDONALD'S F416             LAWRENCE        KS,,-2.82,01/04/2021,3018.69
12/29/2020,Debit Card,ARBY'S 5004021              KANSAS CITY     MO,,-24.23,12/29/2020,3021.51
12/23/2020,Debit Card,GODFATHER S PIZ             Liberty         MO,,-18.79,12/23/2020,3045.74
12/22/2020,Debit Card,00000000018094 MCDONALD'S F2962   LIBERTY       MO,,-26.28,12/22/2020,3064.53
12/22/2020,Debit Card,TACO BELL 15618             COLUMBIA        MO,,-3.25,12/22/2020,3090.81
12/21/2020,Debit Card,PHILLIPS 66 - P             COLUMBIA        MO,,-27.47,12/21/2020,3094.06
12/21/2020,Debit Card,OHANA JAPANESE              SPRINGFIELD     MO,,-15.00,12/21/2020,3121.53
12/21/2020,Debit Card,MCDONALD'S F748             OZARK           MO,,-7.56,12/21/2020,3136.53
12/21/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,12/21/2020,3144.09
12/21/2020,Debit Card,AMZN Mktp US*F8             Amzn.com/bill   WA,,-124.35,12/21/2020,3147.33
12/17/2020,Debit Card,STUDENT MOBILIZ             CONWAY          AR,,-250.00,12/17/2020,3271.68
12/16/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.86,12/16/2020,3521.68
12/16/2020,Debit Card,MPC 94                      COLUMBIA        MO,,-26.32,12/16/2020,3529.54
12/15/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-28.88,12/15/2020,3555.86
12/14/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,12/14/2020,3584.74
12/14/2020,Debit Card,CHICK-FIL-A #03             COLUMBIA        MO,,-24.49,12/14/2020,3587.98
12/14/2020,Debit Card,AMZN Mktp US*EV             Amzn.com/bill   WA,,-104.72,12/14/2020,3612.47
12/09/2020,Debit Card,FRG*FANATICS.CO             8778337397      FL,,-37.49,12/09/2020,3717.19
12/09/2020,Debit Card,AMZN Mktp US*W5             Amzn.com/bill   WA,,-18.21,12/09/2020,3754.68
12/08/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-6.64,12/08/2020,3772.89
12/08/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-32.03,12/08/2020,3779.53
12/08/2020,Debit Card,DONATION TO THE             877-6009454     CA,,-30.00,12/08/2020,3811.56
12/07/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-16.19,12/07/2020,3841.56
12/07/2020,Debit Card,COVENANT EYES               OWOSSO          MI,,-15.99,12/07/2020,3857.75
12/07/2020,Debit Card,2796PEPSIVEN914             COLUMBIA        MO,,-2.00,12/07/2020,3873.74
12/04/2020,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,12/04/2020,3875.74
12/03/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-18.60,12/03/2020,3890.69
12/02/2020,ACH,1224 E Walnut   Rent,,-796.20,12/02/2020,3909.29
12/01/2020,Debit Card,SIGNAL FOOD STO             OZARK           MO,,-10.87,12/01/2020,4705.49
12/01/2020,Debit Card,THE BIG BISCUIT             SPRINGFIELD     MO,,-17.00,12/01/2020,4716.36
12/01/2020,Debit Card,OLIVE GARDEN 00             SPRINGFIELD     MO,,-21.00,12/01/2020,4733.36
12/01/2020,Debit Card,3703 GREAT CLIP             SPRINGFIELD     MO,,-20.00,12/01/2020,4754.36
11/30/2020,Debit Card,KRISPY KREME #0             SPRINGFIELD     MO,,-10.58,11/30/2020,4774.36
11/30/2020,Debit Card,BIG WHISKEYS 4              SPRINGFIELD     MO,,-20.00,11/30/2020,4784.94
11/30/2020,Debit Card,00000000017503 SHELL SERVICE S    OSCEOLA       MO,,-2.92,11/30/2020,4804.94
11/30/2020,Debit Card,00000000017503 SHELL SERVICE S    OSCEOLA       MO,,-24.98,11/30/2020,4807.86
11/27/2020,Debit Card,0079-OLD CHICAG             KANSAS CITY     MO,,-14.00,11/27/2020,4832.84
11/24/2020,Debit Card,AMAZON.COM*7I39             SEATTLE         WA,,-82.66,11/24/2020,4846.84
11/23/2020,Debit Card,IHOP 5423                   COLUMBIA        MO,,-26.00,11/23/2020,4929.50
11/23/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-44.75,11/23/2020,4955.50
11/18/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-26.35,11/18/2020,5000.25
11/18/2020,Debit Card,MPC 94                      COLUMBIA        MO,,-25.20,11/18/2020,5026.60
11/18/2020,Debit Card,INTERNATIONAL T             COLUMBIA        MO,,-9.00,11/18/2020,5051.80
11/16/2020,Debit Card,BURRITO KING                LAWRENCE        KS,,-7.25,11/16/2020,5060.80
11/16/2020,Debit Card,MCDONALD'S F416             LAWRENCE        KS,,-8.18,11/16/2020,5068.05
11/16/2020,Debit Card,JOHNNYS TAVERN              LAWRENCE        KS,,-19.00,11/16/2020,5076.23
11/13/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-16.27,11/13/2020,5095.23
11/12/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,11/12/2020,5111.50
11/12/2020,Debit Card,MPC 94                      COLUMBIA        MO,,-23.42,11/12/2020,5119.09
11/09/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-22.30,11/09/2020,5142.51
11/09/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-9.70,11/09/2020,5164.81
11/06/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-28.23,11/06/2020,5174.51
11/05/2020,Debit Card,DOMINO'S 1502               COLUMBIA        MO,,-15.11,11/05/2020,5202.74
11/04/2020,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,11/04/2020,5217.85
11/03/2020,ACH,1224 E Walnut   Rent,,-796.20,11/03/2020,5232.80
11/02/2020,Debit Card,SQ *BIG MAMA CH             COLUMBIA        MO,,-65.09,11/02/2020,6029.00
11/02/2020,Debit Card,DAIRY QUEEN #12             COLUMBIA        MO,,-3.66,11/02/2020,6094.09
10/30/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-43.48,10/30/2020,6097.75
10/30/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-15.19,10/30/2020,6141.23
10/26/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-12.20,10/26/2020,6156.42
10/26/2020,Debit Card,PARKMOBILE                  COLUMBIA        MO,,-1.20,10/26/2020,6168.62
10/23/2020,Debit Card,MIZZOU MARKET H             COLUMBIA        MO,,-8.71,10/23/2020,6169.82
10/21/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-42.19,10/21/2020,6178.53
10/21/2020,Debit Card,PAPA JOHNS #508             COLUMBIA        MO,,-17.36,10/21/2020,6220.72
10/21/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,10/21/2020,6238.08
10/19/2020,ACH,VENMO           PAYMENT,,-9.00,10/19/2020,6241.32
10/19/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,10/19/2020,6250.32
10/19/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-7.65,10/19/2020,6257.91
10/19/2020,Debit Card,SMOOTHIE KING -             COLUMBIA        MO,,-6.51,10/19/2020,6265.56
10/16/2020,ACH,VENMO           PAYMENT,,-18.00,10/16/2020,6272.07
10/14/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-5.60,10/14/2020,6290.07
10/13/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-45.10,10/13/2020,6295.67
10/13/2020,Debit Card,LOVES COUNTRY 0             BOONVILLE       MO,,-26.03,10/13/2020,6340.77
10/13/2020,Debit Card,REMITONLINE.COM             800-9970197     CO,,-19.45,10/13/2020,6366.80
10/08/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,10/08/2020,6386.25
10/05/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-38.53,10/05/2020,6393.84
10/05/2020,Debit Card,015025129998   DICK'S CLOTHING&SP COLUMBIA      MO,,-436.98,10/05/2020,6432.37
10/05/2020,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,10/05/2020,6869.35
10/02/2020,ACH,1224 E Walnut   Rent,,-789.95,10/02/2020,6884.30
10/02/2020,Debit Card,ERNIE'S CAFE &              COLUMBIA        MO,,-10.00,10/02/2020,7674.25
10/01/2020,ACH,VENMO           PAYMENT,,-10.00,10/01/2020,7684.25
10/01/2020,Debit Card,ZAXBY'S #46401              COLUMBIA        MO,,-8.86,10/01/2020,7694.25
09/30/2020,Debit Card,MIZZOU PHARMACY             COLUMBIA        MO,,-5.93,09/30/2020,7703.11
09/28/2020,Debit Card,00000000023202 MCDONALD'S F1140   COLUMBIA      MO,,-13.02,09/28/2020,7709.04
09/28/2020,Debit Card,SQ *SILVERBALL              Columbia        MO,,-8.00,09/28/2020,7722.06
09/28/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,09/28/2020,7730.06
09/28/2020,Debit Card,TST* TROPICAL L             COLUMBIA        MO,,-7.00,09/28/2020,7737.65
09/28/2020,Debit Card,EL OSO MEXICAN              COLUMBIA        MO,,-21.47,09/28/2020,7744.65
09/28/2020,Debit Card,IHOP 5423                   COLUMBIA        MO,,-23.00,09/28/2020,7766.12
09/24/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-52.83,09/24/2020,7159.05
09/22/2020,Debit Card,DOMINO'S 1502               COLUMBIA        MO,,-17.81,09/22/2020,7211.88
09/21/2020,Debit Card,HITT ST MINI MA             COLUMBIA        MO,,-17.35,09/21/2020,7229.69
09/21/2020,Debit Card,CHIPOTLE 1027               COLUMBIA        MO,,-7.56,09/21/2020,7247.04
09/18/2020,Debit Card,MIZZOU MARKET H             COLUMBIA        MO,,-6.89,09/18/2020,7254.60
09/18/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-8.46,09/18/2020,7261.49
09/16/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-11.45,09/16/2020,7269.95
09/15/2020,Debit Card,00000000020636 MCDONALD'S F6264   COLUMBIA      MO,,-12.56,09/15/2020,7267.22
09/15/2020,Debit Card,MPC 94                      COLUMBIA        MO,,-26.80,09/15/2020,7279.78
09/15/2020,Debit Card,STEAMGAMES.COM4             425-9522985     WA,,-4.99,09/15/2020,7306.58
09/14/2020,Debit Card,BURGER KING #35             COLUMBIA        MO,,-26.72,09/14/2020,7311.57
09/14/2020,Debit Card,SONIC DRIVE IN              COLUMBIA        MO,,-22.96,09/14/2020,7338.29
09/14/2020,Debit Card,JEWELRY BOX                 COLUMBIA        MO,,-75.93,09/14/2020,7361.25
09/14/2020,Debit Card,004502393      TARGET T- 2400 Ber Columbia      MO,,-36.25,09/14/2020,7437.18
09/14/2020,Debit Card,000181225078   FINISH LI 2300 BER COLUMBIA      MO,,-43.39,09/14/2020,7473.43
09/14/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-3.24,09/14/2020,7516.82
09/14/2020,Debit Card,MCDONALD'S F171             COLUMBIA        MO,,-6.51,09/14/2020,7520.06
09/11/2020,ACH,1224 E Walnut   Rent,,-8.20,09/11/2020,7526.57
09/10/2020,Debit Card,WM SUPERCENTER WM SUPERCENTER #   COLUMBIA      MO,,-26.76,09/10/2020,7534.77
09/10/2020,Debit Card,LA SIESTA MEXIC             COLUMBIA        MO,,-29.00,09/10/2020,7561.53
09/08/2020,Debit Card,MIZZOU MARKET H             COLUMBIA        MO,,-2.47,09/08/2020,7590.53
09/08/2020,Debit Card,SONIC DRIVE IN              COLUMBIA        MO,,-23.27,09/08/2020,7593.00
09/08/2020,Debit Card,CHICK-FIL-A #03             COLUMBIA        MO,,-28.03,09/08/2020,7616.27
09/08/2020,Debit Card,CHIPOTLE 0315               COLUMBIA        MO,,-7.59,09/08/2020,7644.30
09/04/2020,Debit Card,WENDY'S 0044   WENDY'S 0044       COLUMBIA      MO,,-12.85,09/04/2020,7651.89
09/04/2020,Debit Card,CHEGG  ORDER                SANTA CLARA     CA,,-14.95,09/04/2020,7664.74
09/04/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-9.24,09/04/2020,7679.69
09/03/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-41.36,09/03/2020,7688.93
09/03/2020,Debit Card,024800052      Supplemen Suppleme Columbia      MO,,-87.39,09/03/2020,7730.29
09/02/2020,ACH,1224 E Walnut   Rent,,-789.95,09/02/2020,7817.68
09/02/2020,Debit Card,MCDONALD'S F171             COLUMBIA        MO,,-11.79,09/02/2020,8607.63
08/31/2020,Debit Card,TACO BELL 456               COLUMBIA        MO,,-11.81,08/31/2020,8584.42
08/31/2020,Debit Card,STEAMGAMES.COM              BELLEVUE        WA,,-19.99,08/31/2020,8596.23
08/28/2020,Debit Card,HY-VEE LIBERTY              LIBERTY         MO,,-54.93,08/28/2020,8616.22
08/28/2020,Debit Card,WALMART.COM AW              BENTONVILLE     AR,,-144.87,08/28/2020,8671.15
08/27/2020,ACH,1224 E Walnut   Rent,,-91.95,08/27/2020,8816.02
08/26/2020,Debit Card,00000000024015 WAL-MART #0159     COLUMBIA      MO,,-29.14,08/26/2020,5174.42
08/25/2020,Debit Card,PHILLIPS 66 - V             SAINT LOUIS     MO,,-27.08,08/25/2020,5203.56
08/24/2020,Debit Card,00000000039940 KWIK TRIP 111      OAK PARK HEIG MN,,-3.79,08/24/2020,3978.48
08/21/2020,Debit Card,SAINT LOUIS ZOO             SAINT LOUIS     MO,,-6.50,08/21/2020,3982.27
08/19/2020,Debit Card,SMOOTHIE KING -             COLUMBIA        MO,,-16.81,08/19/2020,3988.77
08/19/2020,Debit Card,LADY JANES KC L             Kansas City     MO,,-23.00,08/19/2020,4005.58
08/18/2020,Debit Card,7660000159     Wal-Mart Super C   COLUMBIA      MO,,-89.61,08/18/2020,4028.58
08/14/2020,Debit Card,WALMART.COM AW              BENTONVILLE     AR,,-258.70,08/14/2020,4118.19
08/10/2020,Debit Card,TST* NATIONAL C             DETROIT         MI,,-6.56,08/10/2020,4376.89
08/06/2020,Debit Card,HANEY FAMILY RE             CENTER LINE     MI,,-11.00,08/06/2020,2620.00
08/04/2020,ACH,1224 E Walnut   Rent,,-949.95,08/04/2020,2631.00
08/03/2020,Debit Card,CHIPOTLE ONLINE             NEWPORT BEACH   CA,,-20.67,08/03/2020,3580.95
07/31/2020,Debit Card,LEFTYS OF STERL             STERLING HEIG   MI,,-12.71,07/31/2020,3601.62
07/30/2020,Debit Card,TUBBY S                     STERLING HEIG   MI,,-10.18,07/30/2020,3614.33
07/29/2020,Debit Card,MEXICO CITY MEX             WARREN          MI,,-12.07,07/29/2020,3624.51
07/28/2020,Debit Card,BLUE NOTE STL               ST. LOUIS       MO,,-29.60,07/28/2020,3636.58
07/24/2020,Debit Card,WENDY'S 0041   WENDY'S 0041       KANSAS CITY   MO,,-2.99,07/24/2020,3666.18
07/23/2020,Debit Card,CHAMPION BURRIT             KANSAS CITY     MO,,-9.14,07/23/2020,2380.34
07/22/2020,Debit Card,J AND R SHOES I             KANSAS CITY     MO,,-25.17,07/22/2020,2389.48
07/21/2020,ACH,ROBINHOOD       Funds,,-0.58,07/21/2020,2414.65
07/21/2020,Debit Card,PHILLIPS 66 - M             NORTH KANSAS    MO,,-27.34,07/21/2020,2415.23
07/17/2020,Debit Card,00000000015645 MCDONALD'S F1162   KANSAS CITY   MO,,-14.10,07/17/2020,2442.57
07/16/2020,ACH,ROBINHOOD       Funds,,-500.00,07/16/2020,2456.67
07/14/2020,Account Transfers,B@H to MONEY MRKT CHECKING,,-1332.00,07/14/2020,2956.09
07/14/2020,Debit Card,CHAMPION BURRIT             KANSAS CITY     MO,,-9.14,07/14/2020,4288.09
07/14/2020,Debit Card,TEXAS ROADHOUSE             LIBERTY         MO,,-48.00,07/14/2020,4297.23
07/13/2020,Debit Card,Nike Kansas Cit             Kansas City     KS,,-94.11,07/13/2020,4345.23
07/13/2020,Debit Card,TJ MAXX #1027               KANSAS CITY     KS,,-96.28,07/13/2020,4439.34
07/07/2020,Debit Card,00000000015645 MCDONALD'S F1162   KANSAS CITY   MO,,-14.10,07/07/2020,2647.83
